,bBoxW,bBoxH,bBoxX,width,height,categoryId,bBoxY,fileName,categoryName
0,4000,2252,0,4000,2252,20813,0,검멀레동굴 _066_42469394.jpg,검멀레동굴
1,4000,2252,0,4000,2252,20813,0,검멀레동굴 _067_42469395.jpg,검멀레동굴
2,4000,2252,0,4000,2252,20813,0,검멀레동굴 _068_42469396.jpg,검멀레동굴
3,4000,2252,0,4000,2252,20813,0,검멀레동굴 _104_42469397.jpg,검멀레동굴
4,4000,2252,0,4000,2252,20813,0,검멀레동굴 _106_42469399.jpg,검멀레동굴
5,4000,2252,0,4000,2252,20813,0,검멀레동굴 _107_42469400.jpg,검멀레동굴
6,4000,2252,0,4000,2252,20813,0,검멀레동굴 _108_42469401.jpg,검멀레동굴
7,4000,2252,0,4000,2252,20813,0,검멀레동굴 _109_42469402.jpg,검멀레동굴
8,4000,2252,0,4000,2252,20813,0,검멀레동굴 _110_42469403.jpg,검멀레동굴
9,4000,2252,0,4000,2252,20813,0,검멀레동굴 _111_42469404.jpg,검멀레동굴
10,4000,2252,0,4000,2252,20813,0,검멀레동굴 _112_42469405.jpg,검멀레동굴
11,4000,2252,0,4000,2252,20813,0,검멀레동굴 _113_42469406.jpg,검멀레동굴
12,4000,2252,0,4000,2252,20813,0,검멀레동굴 _114_42469407.jpg,검멀레동굴
13,4000,2252,0,4000,2252,20813,0,검멀레동굴 _115_42469408.jpg,검멀레동굴
14,4000,2252,0,4000,2252,20813,0,검멀레동굴 _116_42469409.jpg,검멀레동굴
15,4000,2252,0,4000,2252,20813,0,검멀레동굴 _118_42469411.jpg,검멀레동굴
16,4000,2252,0,4000,2252,20813,0,검멀레동굴 _119_42469412.jpg,검멀레동굴
17,4000,2252,0,4000,2252,20813,0,검멀레동굴 _120_42469413.jpg,검멀레동굴
18,4000,2252,0,4000,2252,20813,0,검멀레동굴 _121_42469414.jpg,검멀레동굴
19,4000,2252,0,4000,2252,20813,0,검멀레동굴 _122_42469415.jpg,검멀레동굴
20,4000,2252,0,4000,2252,20813,0,검멀레동굴 _123_42469416.jpg,검멀레동굴
21,4000,2252,0,4000,2252,20813,0,검멀레동굴 _124_42469417.jpg,검멀레동굴
22,4000,2252,0,4000,2252,20813,0,검멀레동굴 _125_42469418.jpg,검멀레동굴
23,4000,2252,0,4000,2252,20813,0,검멀레동굴 _126_42469419.jpg,검멀레동굴
24,4000,2252,0,4000,2252,20813,0,검멀레동굴 _127_42469420.jpg,검멀레동굴
25,4000,2252,0,4000,2252,20813,0,검멀레동굴 _129_42469422.jpg,검멀레동굴
26,4000,2252,0,4000,2252,20813,0,검멀레동굴 _130_42469423.jpg,검멀레동굴
27,4000,2252,0,4000,2252,20813,0,검멀레동굴 _132_42469425.jpg,검멀레동굴
28,4000,2252,0,4000,2252,20813,0,검멀레동굴 _133_42469426.jpg,검멀레동굴
29,4000,2252,0,4000,2252,20813,0,검멀레동굴 _135_42469428.jpg,검멀레동굴
30,4000,2252,0,4000,2252,20813,0,검멀레동굴 _136_42469429.jpg,검멀레동굴
31,4000,2252,0,4000,2252,20813,0,검멀레동굴 _137_42469430.jpg,검멀레동굴
32,4000,2252,0,4000,2252,20813,0,검멀레동굴 _138_42469431.jpg,검멀레동굴
33,4000,2252,0,4000,2252,20813,0,검멀레동굴 _139_42469432.jpg,검멀레동굴
34,4000,2252,0,4000,2252,20813,0,검멀레동굴 _140_42469433.jpg,검멀레동굴
